Publication Year,Document Title,Publication Title,Authors,Abstract,Keywords,DOI,,
2017,SIGGRAPH '17: ACM SIGGRAPH 2017 Posters,,no author,The Posters program is a cooperative setting where students;; researchers;; artists;; enthusiasts;; and industry veterans present their research;; art;; and ideas to the global computer graphics community;; and encourage feedback on recently completed work or tentative new approaches.The Posters program also hosts the ACM Student Research Competition (SRC).,,,,
2015,Visualizing Loops and Data Structures in Xylem: The Code of Plants,Proceedings of the Fourth International Workshop on Games and Software Engineering,Heather Logas;; Richard Vallejos;; Joseph Osborn;; Kate Compton;; Jim Whitehead,The visual representation of software data structures is especially relevant to the creation of games which crowdsource science problems to a gaming community and to educational games which seek to teach computer science concepts within the context of computer games. Xylem: The Code of Plants is a game designed to crowdsource formal software verification via loop invariant specifications. Due to the nature of this project;; it was important that the game 1) appeal to a large audience;; 2) support a wide variety of data structures and 3) hide any actual data from the source code that was generating the game levels. To these ends;; a method of visualizing data structures was developed that features a consistent plant-based narrative metaphor;; is flexible enough to accommodate multiple types of data structures while maintaining narrative integrity;; and obscures all real data from the target source code.,loop invariants;; software verification games;; data structure visualization;; games and software engineering;; program visualization;; formal verification,,,
2012,Visualizing the Protein Sequence Universe,ECMLS '12,Larissa Stanberry;; Roger Higdon;; Winston Haynes;; Natali Kolker;; William Broomall;; Saliya Ekanayake;; Adam Hughes;; Yang Ruan;; Judy Qiu;; Eugene Kolker;; Geoffrey Fox,Modern biology is experiencing a rapid increase in data volumes that challenges our analytical skills and existing cyberinfrastructure. Exponential expansion of the Protein Sequence Universe (PSU);; the protein sequence space;; together with the costs and complexities of manual curation creates a major bottleneck in life sciences research. Existing resources lack scalable visualization tools that are instrumental for functional annotation. Here;; we describe a multi-dimensional scaling (MDS) implementation to create a 3D embedding of the PSU that allows visualizing the relationships between large numbers of proteins. To demonstrate the method;; we use sequence similarity scores as a measure of proximity. An example of the prokaryotic PSU shows that the low-dimensional representation preserves important grouping features such as relative proximity of functionally similar clusters and clear structural separation between clusters with specific and general functions. The advantages of the method and its implementation include the ability to scale to large numbers of sequences;; integrate different similarity measures with other functional and experimental data;; and facilitate protein annotation. Transdisciplinary approaches akin to the one described in this paper are urgently needed to quickly and efficiently translate the influx of new data into tangible innovations and groundbreaking discoveries.,multidimensional scaling;; computational bioinformatics;; uniprot;; data visualization;; uniref;; hive;; sequence similarity;; mapreduce;; psu;; twister;; blast;; cog;; sammon;; protein sequence universe;; em;; azure;; protein annotation;; needleman-wunsch;; data-enabled life sciences;; mpi;; hadoop;; delsa,10.1145/2483954.2483958,,
2013,Wellfounded Recursion with Copatterns: A Unified Approach to Termination and Productivity,Proceedings of the 18th ACM SIGPLAN International Conference on Functional Programming,Andreas M. Abel;; Brigitte Pientka,In this paper;; we study strong normalization of a core language based on System F-omega which supports programming with finite and infinite structures. Building on our prior work;; finite data such as finite lists and trees are defined via constructors and manipulated via pattern matching;; while infinite data such as streams and infinite trees is defined by observations and synthesized via copattern matching. In this work;; we take a type-based approach to strong normalization by tracking size information about finite and infinite data in the type. This guarantees compositionality. More importantly;; the duality of pattern and copatterns provide a unifying semantic concept which allows us for the first time to elegantly and uniformly support both well-founded induction and coinduction by mere rewriting. The strong normalization proof is structured around Girard's reducibility candidates. As such our system allows for non-determinism and does not rely on coverage. Since System F-omega is general enough that it can be the target of compilation for the Calculus of Constructions;; this work is a significant step towards representing observation-centric infinite data in proof assistants such as Coq and Agda.,,,,
2013,Wellfounded Recursion with Copatterns: A Unified Approach to Termination and Productivity,SIGPLAN Not.,Andreas M. Abel;; Brigitte Pientka,In this paper;; we study strong normalization of a core language based on System F-omega which supports programming with finite and infinite structures. Building on our prior work;; finite data such as finite lists and trees are defined via constructors and manipulated via pattern matching;; while infinite data such as streams and infinite trees is defined by observations and synthesized via copattern matching. In this work;; we take a type-based approach to strong normalization by tracking size information about finite and infinite data in the type. This guarantees compositionality. More importantly;; the duality of pattern and copatterns provide a unifying semantic concept which allows us for the first time to elegantly and uniformly support both well-founded induction and coinduction by mere rewriting. The strong normalization proof is structured around Girard's reducibility candidates. As such our system allows for non-determinism and does not rely on coverage. Since System F-omega is general enough that it can be the target of compilation for the Calculus of Constructions;; this work is a significant step towards representing observation-centric infinite data in proof assistants such as Coq and Agda.,strong normalization;; type-based termination;; coinduction;; pattern matching;; productivity;; recursion,10.1145/2544174.2500591,,
1986,With Probability One;; a Random Oracle Separates PSPACE from the Polynomial-Time Hierarchy,Proceedings of the Eighteenth Annual ACM Symposium on Theory of Computing,J Y Cai,,,10.1145/12130.12133,,
1990,Witness Indistinguishable and Witness Hiding Protocols,Proceedings of the Twenty-Second Annual ACM Symposium on Theory of Computing,U. Feige;; A. Shamir,,,10.1145/100216.100272,,
2014,Worked Examples in Computer Science,ACE '14,Ben Skudder;; Andrew Luxton-Reilly,Most instructors teaching Computer Science use examples to help students learn;; and many instructors use worked examples (either in a static or a dynamic style) in their courses. However;; the research on worked examples is not well known in the Computer Science Education community. This paper provides an overview of how worked examples have been studied;; and the major findings from the literature;; particularly as they relate to Computer Science.,cognition;; worked examples;; learning;; cognitive load theory,,,
1980,Workshop on Formal Verification: (VERkshop),SIGSOFT Softw. Eng. Notes,no author,There has been significant progress in the formal verification of system designs and of programs in the last few years;; but there are many problems remaining. In an effort to assess the state of the art on the practical side of formal verification;; a workshop (VERkshop) was held in April at SRI;; co-organized by Peter Neumann and Steve Walker (DoD). There were about 50 attendees;; essentially all of whom contributed on-line informal written statements (research summaries;; position statements;; etc.) in advance.In order to share the conclusions of the VERkshop with a wider audience;; we are including most of the a priori VERkshop contribution in this issue (although some have been abridged). In addition;; a posteriori statements are included that summarize the three days' activities. Some trivial corrections and formatting have been added;; but otherwise the material is essentially as received. The included items have page numbers as indicated.,,10.1145/1005913.1005914,,
2002,Workshop: Integrating Mathematical Reasoning into Introductory Computer Science Courses,J. Comput. Sci. Coll.,Doug Baldwin;; Peter Henderson,,,,,
2020,Zero-Shot Image Classification via Consistent Subspace Learning,CNIOT2020,Shiwei Chen;; Hongyun Zhang,Recent years have witnessed great advances in image classification due to the availability of high-volume data and the development of deep neural networks. Nevertheless;; the classification performance strongly depends on abundant training samples for the specific category;; and there is no ability to recognize categories that do not appear during the training process. In this paper;; a novel formulation based on consistent subspace learning for zero-shot image classification is proposed;; which pursues a common subspace of the visual features and semantic representations of images. Particularly;; such a subspace is defined by class label information;; in which a similarity metric is utilized for the zero-shot image classification. In addition;; a novel mechanism is developed to efficiently capture the consistent information between visual and semantic embeddings in the learned subspace. An iterative optimization algorithm based on block coordinate descent is designed to solve the proposed formulation. Ultimately;; comprehensive experimental analyses on five public datasets demonstrate that the proposed algorithm gains promising performance;; and even outperforms several state-of-the-art works.,Block Coordinate Descent;; Zero-shot Classification;; Subspace Learning,10.1145/3398329.3398353,,
2020,Zero-Shot Image Classification via Consistent Subspace Learning,CNIOT2020,Shiwei Chen;; Hongyun Zhang,Recent years have witnessed great advances in image classification due to the availability of high-volume data and the development of deep neural networks. Nevertheless;; the classification performance strongly depends on abundant training samples for the specific category;; and there is no ability to recognize categories that do not appear during the training process. In this paper;; a novel formulation based on consistent subspace learning for zero-shot image classification is proposed;; which pursues a common subspace of the visual features and semantic representations of images. Particularly;; such a subspace is defined by class label information;; in which a similarity metric is utilized for the zero-shot image classification. In addition;; a novel mechanism is developed to efficiently capture the consistent information between visual and semantic embeddings in the learned subspace. An iterative optimization algorithm based on block coordinate descent is designed to solve the proposed formulation. Ultimately;; comprehensive experimental analyses on five public datasets demonstrate that the proposed algorithm gains promising performance;; and even outperforms several state-of-the-art works.,Zero-shot Classification;; Subspace Learning;; Block Coordinate Descent,10.1145/3398329.3398353,,
